ID,Citywide,Core,Congestion_Zone,Sub_Midtown,Midtown,Non_Core,CBD,Airports
1,Yes,No,No,No,No,No,No,Yes
2,Yes,No,No,No,No,Yes,No,No
3,Yes,No,No,No,No,Yes,No,No
4,Yes,Yes,Yes,No,No,No,Yes,No
5,Yes,No,No,No,No,Yes,No,No
6,Yes,No,No,No,No,Yes,No,No
7,Yes,No,No,No,No,Yes,No,No
8,Yes,No,No,No,No,Yes,No,No
9,Yes,No,No,No,No,Yes,No,No
10,Yes,No,No,No,No,Yes,No,No
11,Yes,No,No,No,No,Yes,No,No
12,Yes,Yes,Yes,No,No,No,Yes,No
13,Yes,Yes,Yes,No,No,No,Yes,No
14,Yes,No,No,No,No,Yes,No,No
15,Yes,No,No,No,No,Yes,No,No
16,Yes,No,No,No,No,Yes,No,No
17,Yes,No,No,No,No,Yes,No,No
18,Yes,No,No,No,No,Yes,No,No
19,Yes,No,No,No,No,Yes,No,No
20,Yes,No,No,No,No,Yes,No,No
21,Yes,No,No,No,No,Yes,No,No
22,Yes,No,No,No,No,Yes,No,No
23,Yes,No,No,No,No,Yes,No,No
24,Yes,Yes,No,No,No,No,No,No
25,Yes,No,No,No,No,Yes,No,No
26,Yes,No,No,No,No,Yes,No,No
27,Yes,No,No,No,No,Yes,No,No
28,Yes,No,No,No,No,Yes,No,No
29,Yes,No,No,No,No,Yes,No,No
30,Yes,No,No,No,No,Yes,No,No
31,Yes,No,No,No,No,Yes,No,No
32,Yes,No,No,No,No,Yes,No,No
33,Yes,No,No,No,No,Yes,No,No
34,Yes,No,No,No,No,Yes,No,No
35,Yes,No,No,No,No,Yes,No,No
36,Yes,No,No,No,No,Yes,No,No
37,Yes,No,No,No,No,Yes,No,No
38,Yes,No,No,No,No,Yes,No,No
39,Yes,No,No,No,No,Yes,No,No
40,Yes,No,No,No,No,Yes,No,No
41,Yes,No,No,No,No,Yes,No,No
42,Yes,No,No,No,No,Yes,No,No
43,Yes,Yes,Yes,No,No,No,No,No
44,Yes,No,No,No,No,Yes,No,No
45,Yes,Yes,Yes,No,No,No,Yes,No
46,Yes,No,No,No,No,Yes,No,No
47,Yes,No,No,No,No,Yes,No,No
48,Yes,Yes,Yes,Yes,Yes,No,Yes,No
49,Yes,No,No,No,No,Yes,No,No
50,Yes,Yes,Yes,Yes,Yes,No,Yes,No
51,Yes,No,No,No,No,Yes,No,No
52,Yes,No,No,No,No,Yes,No,No
53,Yes,No,No,No,No,Yes,No,No
54,Yes,No,No,No,No,Yes,No,No
55,Yes,No,No,No,No,Yes,No,No
56,Yes,No,No,No,No,Yes,No,No
57,Yes,No,No,No,No,Yes,No,No
58,Yes,No,No,No,No,Yes,No,No
59,Yes,No,No,No,No,Yes,No,No
60,Yes,No,No,No,No,Yes,No,No
61,Yes,No,No,No,No,Yes,No,No
62,Yes,No,No,No,No,Yes,No,No
63,Yes,No,No,No,No,Yes,No,No
