,year_month,variable,value
0,2022-03-01,avg_total_fare,20.62583
1,2021-11-01,avg_total_fare,20.718537
2,2021-10-01,avg_total_fare,20.327672
3,2022-04-01,avg_total_fare,21.20821
4,2022-01-01,avg_total_fare,19.034512
5,2021-08-01,avg_total_fare,20.250129
6,2022-02-01,avg_total_fare,19.552804
7,2021-12-01,avg_total_fare,20.925361
8,2021-06-01,avg_total_fare,19.458235
9,2021-09-01,avg_total_fare,20.642181
10,2021-07-01,avg_total_fare,19.924243
11,2022-03-01,sum_total_fare,73606059.85
12,2021-11-01,sum_total_fare,70939879.89
13,2021-10-01,sum_total_fare,69275467.71
14,2022-04-01,sum_total_fare,75113967.4
15,2022-01-01,sum_total_fare,46118377.92
16,2021-08-01,sum_total_fare,55477437.36
17,2022-02-01,sum_total_fare,57348688.84
18,2021-12-01,sum_total_fare,66180661.81
19,2021-06-01,sum_total_fare,54257420.59
20,2021-09-01,sum_total_fare,59794517.52
21,2021-07-01,sum_total_fare,55236718.19
22,2022-03-01,avg_fare_amount,13.910156
23,2021-11-01,avg_fare_amount,14.106231
24,2021-10-01,avg_fare_amount,13.834244
25,2022-04-01,avg_fare_amount,14.421791
26,2022-01-01,avg_fare_amount,12.752495
27,2021-08-01,avg_fare_amount,13.898017
28,2022-02-01,avg_fare_amount,13.122681
29,2021-12-01,avg_fare_amount,14.267033
30,2021-06-01,avg_fare_amount,13.254609
31,2021-09-01,avg_fare_amount,14.173305
32,2021-07-01,avg_fare_amount,13.63055
33,2022-03-01,sum_fare_amount,49640273.02
34,2021-11-01,sum_fare_amount,48299469.71
35,2021-10-01,sum_fare_amount,47146262.16
36,2022-04-01,sum_fare_amount,51078236.26
37,2022-01-01,sum_fare_amount,30897790.76
38,2021-08-01,sum_fare_amount,38075134.99
39,2022-02-01,sum_fare_amount,38489035.4
40,2021-12-01,sum_fare_amount,45122359.97
41,2021-06-01,sum_fare_amount,36959207.18
42,2021-09-01,sum_fare_amount,41056025.67
43,2021-07-01,sum_fare_amount,37788479.54
44,2022-03-01,avg_extra,1.72897
45,2021-11-01,avg_extra,1.785328
46,2021-10-01,avg_extra,1.764903
47,2022-04-01,avg_extra,1.739207
48,2022-01-01,avg_extra,1.763242
49,2021-08-01,avg_extra,1.750379
50,2022-02-01,avg_extra,1.73246
51,2021-12-01,avg_extra,1.791591
52,2021-06-01,avg_extra,1.78185
53,2021-09-01,avg_extra,1.761091
54,2021-07-01,avg_extra,1.761415
55,2022-03-01,sum_extra,3725548.3
56,2021-11-01,sum_extra,3628099.84
57,2021-10-01,sum_extra,3612632.44
58,2022-04-01,sum_extra,3630699.0
59,2022-01-01,sum_extra,2472270.48
60,2021-08-01,sum_extra,2855851.0
61,2022-02-01,sum_extra,3023221.78
62,2021-12-01,sum_extra,3377401.69
63,2021-06-01,sum_extra,2949223.31
64,2021-09-01,sum_extra,3049830.56
65,2021-07-01,sum_extra,2903111.53
66,2022-03-01,mta_tax,0.5
67,2021-11-01,mta_tax,0.5
